group,label,variant,n,k,T,dist,range,knn_s,approx_s,kmeans_s,approx_mae_vs_knn,knn_mae_vs_seq,kmeans_mae_vs_seq
vary_n,n1000,tiled,1000,32,20,uniform,10000,0.0916121,0.00626898,0.0224771,0.2490,N/A,N/A
vary_n,n5000,tiled,5000,32,20,uniform,10000,0.0910339,0.00828505,0.00461197,0.2224,N/A,N/A
vary_n,n10000,tiled,10000,32,20,uniform,10000,0.109939,0.0119021,0.00577998,0.1774,N/A,N/A
vary_n,n25000,tiled,25000,32,20,uniform,10000,0.203658,0.0310581,0.010926,0.1021,N/A,N/A
vary_n,n50000,tiled,50000,32,20,uniform,10000,0.390459,0.0655921,0.019541,0.0734,N/A,N/A
vary_n,n100000,tiled,100000,32,20,uniform,10000,0.844227,0.139142,0.0352449,0.0566,N/A,N/A
vary_k,k1,tiled,10000,1,20,uniform,10000,0.0809109,0.00812697,0.00508904,0.1020,N/A,N/A
vary_k,k4,tiled,10000,4,20,uniform,10000,0.081075,0.008255,0.00553918,0.6178,N/A,N/A
vary_k,k8,tiled,10000,8,20,uniform,10000,0.0836711,0.00863814,0.00558805,2.1660,N/A,N/A
vary_k,k16,tiled,10000,16,20,uniform,10000,0.090759,0.00899982,0.00587082,0.2478,N/A,N/A
vary_k,k32,tiled,10000,32,20,uniform,10000,0.107937,0.012032,0.00595903,0.1774,N/A,N/A
vary_k,k64,tiled,10000,64,20,uniform,10000,0.149348,0.019891,0.00584793,0.1579,N/A,N/A
vary_k,k128,tiled,10000,128,20,uniform,10000,0.241193,0.0384459,0.00670505,0.1490,N/A,N/A
vary_T,T1,tiled,10000,32,1,uniform,10000,0.108389,0.0116849,0.00462914,0.1774,N/A,N/A
vary_T,T5,tiled,10000,32,5,uniform,10000,0.109007,0.0122168,0.00489187,0.1774,N/A,N/A
vary_T,T10,tiled,10000,32,10,uniform,10000,0.108477,0.0116761,0.00509596,0.1774,N/A,N/A
vary_T,T20,tiled,10000,32,20,uniform,10000,0.108507,0.0117428,0.00585914,0.1774,N/A,N/A
vary_T,T50,tiled,10000,32,50,uniform,10000,0.107608,0.0119741,0.007972,0.1774,N/A,N/A
dist,uniform,tiled,10000,32,20,uniform,10000,0.107678,0.0119841,0.005759,0.1774,N/A,N/A
dist,dense,tiled,10000,32,20,dense,10000,0.107941,0.0114439,0.00567794,0.1694,N/A,N/A
dist,clustered,tiled,10000,32,20,clustered,10000,0.107861,0.021167,0.00564909,0.0000,N/A,N/A
dist,skewed,tiled,10000,32,20,skewed,10000,0.112976,0.048223,0.00590611,0.1548,N/A,N/A
correctness,k1_uniform,tiled,1000,1,20,uniform,10000,0.073231,0.00335193,0.00171304,0.0000,0.0000,0.0000
correctness,k10_uniform,tiled,1000,10,20,uniform,10000,0.0756829,0.00405717,0.00366688,0.7770,0.0000,1.0420
correctness,k32_uniform,tiled,1000,32,20,uniform,10000,0.0783341,0.00551701,0.00317693,0.2490,0.0000,0.0000
correctness,k64_uniform,tiled,1000,64,20,uniform,10000,0.0820591,0.00848079,0.00266504,0.2660,0.0000,1.9870
correctness,k128_uniform,tiled,1000,128,20,uniform,10000,0.0850689,0.014236,0.00290012,0.3110,0.0000,0.0000
correctness,k32_dense,tiled,1000,32,20,dense,10000,0.080245,0.00608492,0.00288486,0.3280,0.0000,1.6600
correctness,k32_clustered,tiled,1000,32,20,clustered,10000,0.0794561,0.00629902,0.00243497,0.0000,0.0000,0.0000
correctness,k32_skewed,tiled,1000,32,20,skewed,10000,0.0800018,0.011595,0.002918,0.1110,0.0000,5.0810
large,n100k_k128_T50,tiled,100000,128,50,uniform,10000,4.00263,0.575554,0.050591,0.0555,N/A,N/A
large,n100k_k32_uniform,tiled,100000,32,20,uniform,10000,0.84974,0.139948,0.036041,0.0566,N/A,N/A
large,n100k_k32_dense,tiled,100000,32,20,dense,10000,0.845565,0.141133,0.035835,0.0622,N/A,N/A
large,n100k_k32_clustered,tiled,100000,32,20,clustered,10000,0.847519,0.430624,0.0359931,0.0007,N/A,N/A
vary_range,R100,tiled,10000,32,20,uniform,100,0.107537,0.011827,0.00609899,0.2679,N/A,N/A
vary_range,R1000,tiled,10000,32,20,uniform,1000,0.106761,0.011421,0.00587916,0.1694,N/A,N/A
vary_range,R10000,tiled,10000,32,20,uniform,10000,0.109123,0.0120499,0.00582004,0.1774,N/A,N/A
vary_range,R100000,tiled,10000,32,20,uniform,100000,0.1083,0.011688,0.00584912,0.1713,N/A,N/A
vary_range,R1000000,tiled,10000,32,20,uniform,1000000,0.109247,0.011801,0.006042,0.1583,N/A,N/A
